Timestamp,Parking Spot,Occupied
2024-10-29 15:02:57.852510,Spot 1,Occupied
2024-10-29 15:02:57.852510,Spot 2,Occupied
2024-10-29 15:02:57.852510,Spot 3,Occupied
2024-10-29 15:02:57.852510,Spot 4,Occupied
2024-10-29 15:02:57.852510,Spot 5,Occupied
2024-10-29 15:02:57.852510,Spot 6,Occupied
2024-10-29 15:02:57.852510,Spot 7,Occupied
2024-10-29 15:02:57.852510,Spot 8,Occupied
2024-10-29 15:02:57.852510,Spot 9,Occupied
2024-10-29 15:02:57.852510,Spot 10,Occupied
2024-10-29 15:02:57.859023,Spot 11,Occupied
2024-10-29 15:02:57.859023,Spot 12,Occupied
2024-10-29 15:02:57.859023,Spot 13,Occupied
2024-10-29 15:02:57.859023,Spot 14,Occupied
2024-10-29 15:02:57.859023,Spot 15,Occupied
2024-10-29 15:02:57.859023,Spot 16,Occupied
2024-10-29 15:02:57.859023,Spot 17,Occupied
2024-10-29 15:02:57.859023,Spot 18,Occupied
2024-10-29 15:02:57.859023,Spot 19,Occupied
2024-10-29 15:02:57.859023,Spot 20,Occupied
2024-10-29 15:02:57.859023,Spot 21,Occupied
2024-10-29 15:02:57.859023,Spot 22,Occupied
2024-10-29 15:02:57.859023,Spot 23,Occupied
2024-10-29 15:02:57.859023,Spot 24,Occupied
2024-10-29 15:02:57.916439,Spot 1,Occupied
2024-10-29 15:02:57.918371,Spot 5,Occupied
2024-10-29 15:02:57.919375,Spot 6,Occupied
2024-10-29 15:02:57.921326,Spot 8,Occupied
2024-10-29 15:02:57.921326,Spot 16,Occupied
2024-10-29 15:02:57.921326,Spot 19,Occupied
2024-10-29 15:02:57.945473,Spot 1,Occupied
2024-10-29 15:02:57.946619,Spot 5,Occupied
2024-10-29 15:02:57.946619,Spot 6,Occupied
2024-10-29 15:02:57.946619,Spot 8,Occupied
2024-10-29 15:02:57.946619,Spot 18,Occupied
2024-10-29 15:02:57.946619,Spot 19,Occupied
2024-10-29 15:02:57.973001,Spot 1,Occupied
2024-10-29 15:02:57.973001,Spot 6,Occupied
2024-10-29 15:02:57.973001,Spot 8,Occupied
2024-10-29 15:02:57.973001,Spot 18,Occupied
2024-10-29 15:02:57.994492,Spot 8,Occupied
2024-10-29 15:02:58.019408,Spot 8,Occupied
2024-10-29 15:02:58.040052,Spot 8,Occupied
2024-10-29 15:02:58.058989,Spot 8,Occupied
2024-10-29 15:02:58.102326,Spot 6,Occupied
2024-10-29 15:02:58.189938,Spot 19,Occupied
2024-10-29 15:02:58.225518,Spot 5,Occupied
2024-10-29 15:02:58.225518,Spot 6,Occupied
2024-10-29 15:02:58.256768,Spot 5,Occupied
2024-10-29 15:02:58.259275,Spot 6,Occupied
2024-10-29 15:02:58.259275,Spot 8,Occupied
2024-10-29 15:02:58.292001,Spot 6,Occupied
2024-10-29 15:02:58.292001,Spot 8,Occupied
2024-10-29 15:02:58.319665,Spot 5,Occupied
2024-10-29 15:02:58.319665,Spot 6,Occupied
2024-10-29 15:02:58.319665,Spot 8,Occupied
2024-10-29 15:02:58.319665,Spot 16,Occupied
2024-10-29 15:02:58.353312,Spot 6,Occupied
2024-10-29 15:02:58.353312,Spot 8,Occupied
2024-10-29 15:02:58.353312,Spot 16,Occupied
2024-10-29 15:02:58.387240,Spot 6,Occupied
2024-10-29 15:02:58.402270,Spot 8,Occupied
2024-10-29 15:02:58.419419,Spot 6,Occupied
2024-10-29 15:02:58.435084,Spot 8,Occupied
2024-10-29 15:02:58.459677,Spot 6,Occupied
2024-10-29 15:02:58.489523,Spot 6,Occupied
2024-10-29 15:02:58.528337,Spot 6,Occupied
2024-10-29 15:02:58.560356,Spot 6,Occupied
2024-10-29 15:02:58.593467,Spot 5,Occupied
2024-10-29 15:02:58.593467,Spot 6,Occupied
2024-10-29 15:02:58.624879,Spot 1,Occupied
2024-10-29 15:02:58.624879,Spot 5,Occupied
2024-10-29 15:02:58.624879,Spot 6,Occupied
2024-10-29 15:02:58.624879,Spot 19,Occupied
2024-10-29 15:02:58.656529,Spot 1,Occupied
2024-10-29 15:02:58.660048,Spot 5,Occupied
2024-10-29 15:02:58.660048,Spot 6,Occupied
2024-10-29 15:02:58.705084,Spot 1,Occupied
2024-10-29 15:02:58.705084,Spot 5,Occupied
2024-10-29 15:02:58.705084,Spot 6,Occupied
2024-10-29 15:02:58.737863,Spot 1,Occupied
2024-10-29 15:02:58.738855,Spot 5,Occupied
2024-10-29 15:02:58.739853,Spot 6,Occupied
2024-10-29 15:02:58.769117,Spot 1,Occupied
2024-10-29 15:02:58.769117,Spot 5,Occupied
2024-10-29 15:02:58.769117,Spot 6,Occupied
2024-10-29 15:02:58.769117,Spot 8,Occupied
2024-10-29 15:02:58.801755,Spot 1,Occupied
2024-10-29 15:02:58.801755,Spot 5,Occupied
2024-10-29 15:02:58.801755,Spot 6,Occupied
2024-10-29 15:02:58.801755,Spot 8,Occupied
2024-10-29 15:02:58.818855,Spot 1,Occupied
2024-10-29 15:02:58.834508,Spot 5,Occupied
2024-10-29 15:02:58.834508,Spot 6,Occupied
2024-10-29 15:02:58.834508,Spot 8,Occupied
2024-10-29 15:02:58.834508,Spot 16,Occupied
2024-10-29 15:02:58.860480,Spot 1,Occupied
2024-10-29 15:02:58.867000,Spot 5,Occupied
2024-10-29 15:02:58.867000,Spot 6,Occupied
2024-10-29 15:02:58.867000,Spot 8,Occupied
2024-10-29 15:02:58.867000,Spot 16,Occupied
2024-10-29 15:02:58.883136,Spot 1,Occupied
2024-10-29 15:02:58.898764,Spot 5,Occupied
2024-10-29 15:02:58.898764,Spot 6,Occupied
2024-10-29 15:02:58.898764,Spot 8,Occupied
2024-10-29 15:02:58.898764,Spot 16,Occupied
2024-10-29 15:02:58.930773,Spot 1,Occupied
2024-10-29 15:02:58.930773,Spot 5,Occupied
2024-10-29 15:02:58.930773,Spot 6,Occupied
2024-10-29 15:02:58.930773,Spot 8,Occupied
2024-10-29 15:02:58.930773,Spot 16,Occupied
2024-10-29 15:02:58.930773,Spot 19,Occupied
2024-10-29 15:02:58.960844,Spot 5,Occupied
2024-10-29 15:02:58.962354,Spot 6,Occupied
2024-10-29 15:02:58.962354,Spot 8,Occupied
2024-10-29 15:02:58.962354,Spot 16,Occupied
2024-10-29 15:02:58.962354,Spot 19,Occupied
2024-10-29 15:02:58.978718,Spot 5,Occupied
2024-10-29 15:02:58.978718,Spot 6,Occupied
2024-10-29 15:02:58.994390,Spot 8,Occupied
2024-10-29 15:02:58.994390,Spot 16,Occupied
2024-10-29 15:02:58.994390,Spot 19,Occupied
2024-10-29 15:02:59.027551,Spot 5,Occupied
2024-10-29 15:02:59.043183,Spot 6,Occupied
2024-10-29 15:02:59.043183,Spot 8,Occupied
2024-10-29 15:02:59.043183,Spot 9,Occupied
2024-10-29 15:02:59.043183,Spot 11,Occupied
2024-10-29 15:02:59.043183,Spot 16,Occupied
2024-10-29 15:02:59.043183,Spot 19,Occupied
2024-10-29 15:02:59.060894,Spot 5,Occupied
2024-10-29 15:02:59.060894,Spot 6,Occupied
2024-10-29 15:02:59.074904,Spot 8,Occupied
2024-10-29 15:02:59.074904,Spot 9,Occupied
2024-10-29 15:02:59.074904,Spot 11,Occupied
2024-10-29 15:02:59.074904,Spot 16,Occupied
2024-10-29 15:02:59.074904,Spot 19,Occupied
2024-10-29 15:02:59.091095,Spot 5,Occupied
2024-10-29 15:02:59.091095,Spot 8,Occupied
2024-10-29 15:02:59.106725,Spot 9,Occupied
2024-10-29 15:02:59.106725,Spot 11,Occupied
2024-10-29 15:02:59.106725,Spot 14,Occupied
